POI_Name,Latitude,Longitude,Name,DestinationID
Lalbag Garden 1,12.951029926826324,77.58835455791878,Lalbag Garden ,1
Vidhan Soudha BLR,12.979595114199938,77.5905989623413,Vidhan Soudha BLR,2
ISCKON Temple,13.00956,77.55012,ISCKON Temple,3
Tipu Sultan Summer Palace,12.95927723,77.57392024,Tipu Sultan Summer Palace,4
HAL Heritage Centre,12.955466880580843,77.68077037567232,HAL Heritage Centre,5
Cubbon Park 1,12.977437711907577,77.59505833589142,Cubbon Park ,6
Visvesvaraya Industrial Museum,12.974777294524394,77.59648174730837,Visvesvaraya Industrial Museum,7
Church Street,12.974848665613727,77.60517240601827,Church Street,8
St. Mary's Basilica,12.984386775807485,77.60427307703702,St. Mary's Basilica,9
CSI St.Mark's Cathedral Bangalore,12.976096273652688,77.6002302011451,CSI St.Mark's Cathedral Bangalore,10
Kanaka Sarovar Lake,13.046226789958643,77.66636443801022,Kanaka Sarovar Lake,11
Freedom Park,12.977791759024615,77.58223243785129,Freedom Park,12
Jawaharlal Nehru Planeturium and Indira Gandhi Park,12.985382412175833,77.59074518363636,Jawaharlal Nehru Planeturium and Indira Gandhi Park,13
Lumbini Garden and Nagawar Lake,13.044488092477492,77.60872331830075,Lumbini Garden and Nagawar Lake,14
Bungee Rock Park,12.942408064242167,77.56937961628343,Bungee Rock Park,15
MN Krishna Rao Park,12.942534551651551,77.57532807437639,MN Krishna Rao Park,16
Bengaluru Palace,13.011048424065546,77.58558942954582,Bengaluru Palace,17
Jayamahal Garden,13.000404790097608,77.5981933454322,Jayamahal Garden,18
Nimhans Convention Centre,12.94316129,77.59637094,Nimhans Convention Centre,19
Bengaluru Fort,12.96284361,77.57556433,Bengaluru Fort,20
Chennakeshava Swamy Temple,12.275583357825456,76.88190241289432,Chennakeshava Swamy Temple,21
Mysore Chamundeshwari Temple,12.272695101164802,76.67067289237009,Mysore Chamundeshwari Temple,22
Mysore Phillomena Cathedral,12.32103032874494,76.65821615706052,Mysore Phillomena Cathedral,23
Mysore Shukavan Bird Park,12.284384354107964,76.65695732323044,Mysore Shukavan Bird Park,24
Mysore Mahishasura Statue,12.2748482,76.6709887,Mysore Mahishasura Statue,25
Mysore Sunset Point,12.271847,76.6694966,Mysore Sunset Point,26
Mysore Nandi Statue,12.279167,76.6678431,Mysore Nandi Statue,27
Mysore Zoo,12.30012507244228,76.66861575401211,Mysore Zoo,28
Mysore Chikka Gadiyara Market,12.309755290073351,76.65215580793965,Mysore Chikka Gadiyara Market,29
Mysore Palace,12.304805899672566,76.65596675204785,Mysore Palace,30
Mysore Mahadevpura Shooting Spot - Coconut Park,12.389277571341214,76.79272515667088,Mysore Mahadevpura Shooting Spot - Coconut Park,31
Mysore Tipu Sultan Resting Place 1,12.4112886,76.7134468,Mysore Tipu Sultan Resting Place ,32
Mysore Commoretive STructure,12.4248984,76.6746835,Mysore Commoretive STructure,33
Mysore Lotus POND,12.4238492,76.6554831,Mysore Lotus POND,34
Talakkadu Temple,12.180242735996112,77.02755811242058,Talakkadu Temple,35
Mysore Daria Daulat Bagh,12.4197045,76.6964458,Mysore Daria Daulat Bagh,36
Mysore Shreerangapattana,12.42265200866268,76.68424668002704,Mysore Shreerangapattana,37
Shreerangapattana Mosque Masjid-i-Ala (Jama Masjid),12.422441472715612,76.68904646189168,Shreerangapattana Mosque Masjid-i-Ala (Jama Masjid),38
Mysore Tipu Sultan Fort and Palace,12.4258122,76.6880901,Mysore Tipu Sultan Fort and Palace,39
Mysore Ranganathswamy Temple,12.4249986,76.6794137,Mysore Ranganathswamy Temple,40
Mysore Colonel Bailey's Dungeon,12.4266076,76.6790525,Mysore Colonel Bailey's Dungeon,41
Tipu Sultan Museum,12.4180142,76.6962281,Tipu Sultan Museum,42
Mysore ZamZam Bazar,12.3190183,76.6544262,Mysore ZamZam Bazar,43
GaganchutkiWaterfalls,12.295951194023738,77.1663176340186,GaganchutkiWaterfalls,44
Bharachukki Waterfalls,12.28916422913833,77.18179777932892,Bharachukki Waterfalls,45
CauverySplitKatte,12.260639445556,77.16856879728164,CauverySplitKatte,46
Mysore Boating,12.424539131291413,76.6529006798126,Mysore Boating,47
Mysore Brindavan Gardens,12.422269845334023,76.5726483261218,Mysore Brindavan Gardens,48
Mysore Railway Museum,12.316538345403542,76.64381750040546,Mysore Railway Museum,49
Mysore JaganMohan Palace,12.306788087968425,76.64987392929346,Mysore JaganMohan Palace,50
Banerghatta Natioanal Park 1,12.75829225455326,77.5879171575845,Banerghatta Natioanal Park ,51
BLR-MYS Highway Hillpoint View,12.74471067153081,77.27601835582075,BLR-MYS Highway Hillpoint View,52
BLR_LalBagh Rock,12.948344031721886,77.58969347561919,BLR_LalBagh Rock,53
MuthyalaWaterfall,12.6853956,77.6633273,MuthyalaWaterfall,54
Wonderla Bangalore,12.834156311104351,77.40102672612905,Wonderla Bangalore,55
MG Road BLr 1,12.97491354363671,77.60906406236633,MG Road BLr ,56
Sri Big Bull Temple,12.941896514709136,77.56796864104898,Sri Big Bull Temple,57
National Gallery of Modern Art,12.989328814348196,77.58808067683093,National Gallery of Modern Art,58
IISc Bangalore,13.015509473381323,77.56736011248844,IISc Bangalore,59
JayaPrakashNarayanaPark,13.033352042322075,77.55046752026465,JayaPrakashNarayanaPark,60
Avalahalli Forest,13.130453642198804,77.5483697917458,Avalahalli Forest,61
GandhiBhavanMuseum,12.9880235050372,77.58030971290084,GandhiBhavanMuseum,62
Chinnaswamy Stadium,12.9787711683408,77.59952774941473,Chinnaswamy Stadium,63
MGRoad-TAJHotel,12.973265538004506,77.61960112179456,MGRoad-TAJHotel,64
OberoiHotel-BLR,12.973681866951573,77.61822599264273,OberoiHotel-BLR,65
PARKHOTEL-BLR,12.974057559261505,77.61948566399984,PARKHOTEL-BLR,66
Raddison Hotel BLR,12.976192912837986,77.6194009535838,Raddison Hotel BLR,67
Conrad BLR Hotel,12.975247719543836,77.62073137645886,Conrad BLR Hotel,68
Brahmin's Coffee Bar-BLR,12.953904351455453,77.56881087318368,Brahmin's Coffee Bar-BLR,69
MTR Restaurant,12.955178882540872,77.58550585315876,MTR Restaurant,70
Koshy's Restaurant,12.975860895453604,77.60153061500735,Koshy's Restaurant,71
Lalbagh Waterfall,12.946068594583483,77.58625314689779,Lalbagh Waterfall,72
Ashok Pillar Monument,12.94370950673898,77.58527311703943,Ashok Pillar Monument,73
HotelLeela Palace BLR,12.960263311553785,77.64840536749652,HotelLeela Palace BLR,74
Commercial Street BLR,12.982265863932128,77.60821117396516,Commercial Street BLR,75
Brigade Road Shopping BLR,12.971513720344529,77.60678029174285,Brigade Road Shopping BLR,76
UB City Mall+FoodBLR,12.971872429019964,77.59612345765204,UB City Mall+FoodBLR,77
Residency Road BLR,12.969836686976285,77.60295956101584,Residency Road BLR,78
Diamond District BLR,12.959317870056298,77.64365849476818,Diamond District BLR,79
80 Ft. Road,12.97261935959091,77.64698458619004, Ft. Road,80
Mysore City Centre Market,12.308471019317654,76.65298086981278,Mysore City Centre Market,81
IIM BLR,12.895443311241646,77.60215764512274,IIM BLR,82
