DestinationID,Name,Latitude,Longitude
1,Gurudwara Dukh Niwaran Sahib,30.34734,76.39700436
2,Chattbir Zoo,30.60365181,76.79231433
3,Sohana Gurudwara ,30.68883438,76.70754415
4,Rose Garden ,30.74498009,76.7785198
5,Government Museum and Art Gallery,30.74966503,76.78794088
6,Leisure Valley,30.75319516,76.79299456
7,Bogainvilla Park,30.75831024,76.79615857
8,"Rock Garden, Chandigarh",30.75290995,76.80522405
9,"Tower of Shadows, Chandigarh",30.75971997,76.80419957
10,Yadavindra Gardens,30.79313736,76.91264309
11,Guru Tegh Bahadur Sikh Museum,31.23498045,76.49778731
12,Himalayan Nature Park Kufri,31.09744674,77.26471307
13,Jakhu Park,31.10127183,77.18446697
14,"Indira Gandhi Statue, Shimla",31.10488449,77.17489152
15,Annadale Golf Hub,31.1115836,77.15816522
