POI_Name,Latitude,Longitude,Name,DestinationID
Perungudi Lake,12.97879545,80.25911807,Perungudi Lake,1
Hidden Lake,12.98347913,80.17878055,Hidden Lake,2
Perarignar Anna Museum,13.08181605,80.2852106,Perarignar Anna Museum,3
Adyar Banyan Tree,13.02228339,80.26735782,Adyar Banyan Tree,4
Dr. APJ Abdul Kalam Park,13.07579654,80.23371219,Dr. APJ Abdul Kalam Park,5
Elliot's Beach,12.9962,80.27058,Elliot's Beach,6
Governor's Bungalow,12.99805,80.27252,Governor's Bungalow,7
BSR Mall,12.94971542,80.24039587,BSR Mall,8
Iskcon Temple,12.9063536,80.2419164,Iskcon Temple,9
Matsya Narayana Temple,12.87894752,80.25115464,Matsya Narayana Temple,10
Kamakshi Temple,12.93430688,80.1564271,Kamakshi Temple,11
IIT Madras,12.98838,80.23313,IIT Madras,12
Thiruvalluvar Nagar Beach,12.97401018,80.26660144,Thiruvalluvar Nagar Beach,13
Anna University,13.01125874,80.23599613,Anna University,14
World Trade Centre,12.96205437,80.24473542,World Trade Centre,15
Marina Beach,13.06035177,80.28652158,Marina Beach,16
Phoenix Marketcity,12.99230853,80.21718025,Phoenix Marketcity,17
Gunidy National Park,12.99924,80.22982,Gunidy National Park,18
Vandalur Zoo,12.88075,80.08863,Vandalur Zoo,19
Arignar Anna Zoological Park,12.87983,80.08119,Arignar Anna Zoological Park,20
ECR Beach,12.89276,80.25302,ECR Beach,21
Golden Beach,12.91752,80.25426,Golden Beach,22
Writer's Café,12.98608,80.2503,Writer's Café,23
Taj Wellington Mews,12.99105,80.24989,Taj Wellington Mews,24
Krishnagiri Fort,12.25774,79.40604,Krishnagiri Fort,25
