POI_Name,Latitude,Longitude,Name,DestinationID
Dhyanlinga Meditation and Yoga Centre,10.977986788660548,76.73528133288228,Dhyanlinga Meditation and Yoga Centre,1
Adiyogi Shiva Statue,10.972466202865368,76.74043962820583,Adiyogi Shiva Statue,2
Isha Yoga Temple,10.976271870769732,76.73668682454117,Isha Yoga Temple,3
Narasipuram Multi Step Waterfall,10.979833160911491,76.76020692695636,Narasipuram Multi Step Waterfall,4
Kovai Kutralam Waterfall,10.939689228463314,76.69075279864468,Kovai Kutralam Waterfall,5
Siruvani Waterfall,10.939689228463314,76.69075279864468,Siruvani Waterfall,6
Masaniamman Temple,11.00493672205332,77.02161733908963,Masaniamman Temple,7
Kodiveri Waterfall and Dam,11.47345617877407,77.29596575547772,Kodiveri Waterfall and Dam,8
Monkey Waterfalls,10.45798930896483,76.96955092545068,Monkey Waterfalls,9
Siruvani Dam,10.975262318536188,76.64205142798339,Siruvani Dam,10
Marudhamalai Temple,11.044127756108248,76.86257777889783,Marudhamalai Temple,11
Gedee Car Museum,11.006609365701935,76.97788440742247,Gedee Car Museum,12
Gedee Science Museum,11.007615304076536,76.97845573707707,Gedee Science Museum,13
VOC Ground Amusement Park,11.004939407611747,76.97149315389224,VOC Ground Amusement Park,14
St Maichaels Cathedral,10.995432855170934,76.96509562047844,St Maichaels Cathedral,15
Sungam Lake Boating,10.992606713257585,76.97651765755097,Sungam Lake Boating,16
Ernatica Sea World Amusement Park,10.9870639099459,76.95713529319984,Ernatica Sea World Amusement Park,17
Diwan Bhadur Rd Shopping,11.007212685204308,76.9509645547569,Diwan Bhadur Rd Shopping,18
Cross Cut Road Shopping,11.020402612428272,76.96817688403841,Cross Cut Road Shopping,19
VellianGiri Sivan Hill Temple,10.988869169966092,76.68654893629319,VellianGiri Sivan Hill Temple,20
VellianGiri Temple Trail Trek,10.984899490308315,76.69047090890487,VellianGiri Temple Trail Trek,21
Bheeman Immovable Stone,10.982284568015862,76.69890108549431,Bheeman Immovable Stone,22
Arulmigu Sri Eachanari Vinayagar Temple,10.923925929884405,76.98234593531413,Arulmigu Sri Eachanari Vinayagar Temple,23
Black Thunder Water Theme Park,11.326403135309777,76.91264025491,Black Thunder Water Theme Park,24
Exotic Bird Park,11.320729420126328,76.91743680798773,Exotic Bird Park,25
Connoor Wellington Gymkhana Club,11.360291841091591,76.79616822151533,Connoor Wellington Gymkhana Club,26
Coonnoor Sims Park,11.356774890551655,76.80011415223275,Coonnoor Sims Park,27
Connoor Sims Park Hidden Valley Fountain,11.36796375922254,76.79541367328855,Connoor Sims Park Hidden Valley Fountain,28
Hillgrove Scenec Train Pass,11.342562120945487,76.83640883277735,Hillgrove Scenec Train Pass,29
Dolphin Nose View Point Coonnoor,11.368404544539157,76.85848486090309,Dolphin Nose View Point Coonnoor,30
Burliyar Bridge,11.344238554306138,76.8500370839478,Burliyar Bridge,31
Connoor madras Regiment Museum,11.365732707647313,76.78801726354133,Connoor madras Regiment Museum,32
Connoor Black Bridge,11.360837020182512,76.78062980795606,Connoor Black Bridge,33
Coonnoor manekshaw Bridge,11.361540970469482,76.78101550088815,Coonnoor manekshaw Bridge,34
Connoor Wellington lake,11.362051139943514,76.78565205553554,Connoor Wellington lake,35
Connoor Nilgiris Tea Garden,11.354627273535865,76.8007276414544,Connoor Nilgiris Tea Garden,36
Sleeping Lady View Point,11.352936437967712,76.79572609732544,Sleeping Lady View Point,37
Connoor Laws Falls,11.331726060581577,76.8006782921431,Connoor Laws Falls,38
Connoor Nilgir Mountain Railway Bridge,11.32850282800249,76.79469547442754,Connoor Nilgir Mountain Railway Bridge,39
Huligal Hills Connoor,11.333057872165591,76.79231460945284,Huligal Hills Connoor,40
Pakasun Peak View Point Coonnoor,11.316316080197913,76.83628786670877,Pakasun Peak View Point Coonnoor,41
Archedin Hills View Point Echo,11.306523816910344,76.79047379443543,Archedin Hills View Point Echo,42
Kullakamby Waterfalls,11.28838071426003,76.75246833385515,Kullakamby Waterfalls,43
Masinagudi Maravakandy Dam,11.573907075775631,76.65160224814332,Masinagudi Maravakandy Dam,44
Bandipura national park,11.66718843655108,76.62882288783878,Bandipura national park,45
Ooty Boating,11.405828189427153,76.68835584138812,Ooty Boating,46
Ooty Romantic Boating,11.403921671299525,76.68103622115639,Ooty Romantic Boating,47
Ooty horticulture garden,11.400838720988322,76.68376687466014,Ooty horticulture garden,48
Ooty thunderworld amusement park,11.404118021102295,76.69389339682384,Ooty thunderworld amusement park,49
Ooty Arbotreum Tea Garden,11.399710060444814,76.69384216740656,Ooty Arbotreum Tea Garden,50
Ooty Hill Stn,11.406556112607142,76.69289129590499,Ooty Hill Stn,51
Ooty Ketri Valley View point,11.397276899227164,76.71736752314064,Ooty Ketri Valley View point,52
Ooty Tiger Point,11.39720949434805,76.72706617961558,Ooty Tiger Point,53
Ooty pine Forest,11.43938920870781,76.65764844294748,Ooty pine Forest,54
Ooty market,11.415361046010506,76.69428256310111,Ooty market,55
Ooty Commercial Street,11.407239024013275,76.70383336237376,Ooty Commercial Street,56
Ooty Upper Bazaar,11.409028502138952,76.70189273914414,Ooty Upper Bazaar,57
Ooty CSI St Stephens Church,11.41522891266868,76.70231071899504,Ooty CSI St Stephens Church,58
Ooty Govt Museum,11.412205178301992,76.71486492909308,Ooty Govt Museum,59
