POI_Name,Latitude,Longitude,Name,DestinationID
Hidimba Devi Temple_Manali,32.24833526945829,77.18163672060916,Hidimba Devi Temple_Manali,1
Lama Dugh Trek Start Point Manali,32.24891979645484,77.17473428527502,Lama Dugh Trek Start Point Manali,2
Lion King Rock Manali,32.244266316444936,77.17044846850328,Lion King Rock Manali,3
Manali Market,32.24468918297311,77.18956942357829,Manali Market,4
Lamadugh Top Trek,32.23110824368159,77.14187832083766,Lamadugh Top Trek,5
Kanpari Tibba Hike,32.22391065320631,77.1302304281993,Kanpari Tibba Hike,6
Kho Waterfall Manali,32.247887903686134,77.12297541173183,Kho Waterfall Manali,7
Rahala Waterfall Manali,32.33625136688119,77.21854803795233,Rahala Waterfall Manali,8
Panduropa Flat Top Hill,32.25946221461025,77.21848402908921,Panduropa Flat Top Hill,9
Hampta Pass Snow Area,32.26716690207354,77.24741751855792,Hampta Pass Snow Area,10
Hanuman Tibba Peak,32.33466840299741,77.05100070594082,Hanuman Tibba Peak,11
Solang Valley Paragliding,32.31382979062826,77.16242532595082,Solang Valley Paragliding,12
Solang Skiing and Zipline Adventure Manali,32.31670003194736,77.15300942283814,Solang Skiing and Zipline Adventure Manali,13
Atal Tunnel South Point,32.36361719794495,77.13335350857449,Atal Tunnel South Point,14
Atal Tunnel North point Rohtang,32.3867110525148,77.14353785343249,Atal Tunnel North point Rohtang,15
Manali Snow Point,32.27574251908493,77.18074790982675,Manali Snow Point,16
Jogini Waterfall,32.27545124219561,77.18928080486853,Jogini Waterfall,17
Beas Riverside Camping,32.27119632126236,77.17900314763996,Beas Riverside Camping,18
Manali Manikaran Gurudwara,32.02698512477785,77.34491090885182,Manali Manikaran Gurudwara,19
Manali Manikaran Hindu Temples-Bholenaath Hot Spring Bath,32.02711759150014,77.34570827513664,Manali Manikaran Hindu Temples-Bholenaath Hot Spring Bath,20
Manali-Leh Highway Gulaba Viewpoint,32.31759902602108,77.18913082906367,Manali-Leh Highway Gulaba Viewpoint,21
Gulaba Tourist Snow Point,32.33149665625981,77.20649144607799,Gulaba Tourist Snow Point,22
Stone Valley View Point,32.32993714265397,77.19872029723076,Stone Valley View Point,23
Film City View Point Manali,32.339958397701324,77.2175023096346,Film City View Point Manali,24
Vashisht Baths and Temples,32.26554000330208,77.1877742499158,Vashisht Baths and Temples,25
Roericht Memorial Trust-Museum and Art Gallery,32.11663652454473,77.16821999017063,Roericht Memorial Trust-Museum and Art Gallery,26
Naggar Castle Manali,32.111389188535654,77.16475818898942,Naggar Castle Manali,27
Bhrigu Lake Historic Landmark,32.29322327465031,77.2431236396855,Bhrigu Lake Historic Landmark,28
Jana Manali Waterfall and Forest,32.053215290606474,77.17192231800003,Jana Manali Waterfall and Forest,29
Manali Wildlife Sanctuary,32.25087224735323,77.16645027298506,Manali Wildlife Sanctuary,30
Manali Model Town Road Tibetan Food Spots and Market,32.24350370975672,77.18852495944651,Manali Model Town Road Tibetan Food Spots and Market,31
Kullu Bijli Mahdev Temple,31.92326462466064,77.15035320951883,Kullu Bijli Mahdev Temple,32
Kullu Tirthan Valley,31.629691598617452,77.41988134908156,Kullu Tirthan Valley,33
Kullu Great Himalayan National Park,31.803962174803665,77.51394704083462,Kullu Great Himalayan National Park,34
Kullu Jalori Pass-Ghat Road and Street Food,31.540452337219737,77.37639964889074,Kullu Jalori Pass-Ghat Road and Street Food,35
Kullu Raghupur Fort,31.536313945310976,77.35119221616219,Kullu Raghupur Fort,36
Kullu Hamta Pass Valley Walk,32.26939385959754,77.3469480843302,Kullu Hamta Pass Valley Walk,37
Kullu Hanogi Mata Temple,31.69285166406993,77.12855383494012,Kullu Hanogi Mata Temple,38
Kullu Maa Vaishno Devi Temple,31.98348837426248,77.1245107805577,Kullu Maa Vaishno Devi Temple,39
Kullu Chandrakhani Pass,32.07253066626073,77.24098891384335,Kullu Chandrakhani Pass,40
Kullu Dhakpo Monastery,32.02464512447148,77.13567378438918,Kullu Dhakpo Monastery,41
Kullu Dechen Choekhor Buddhist Monastery,31.868146239915955,77.14781154259012,Kullu Dechen Choekhor Buddhist Monastery,42
Old Mannali Village market Food,32.25360827616774,77.17749775495835,Old Mannali Village market Food,43
Old manali Bridge,32.25291228995587,77.17974571801092,Old manali Bridge,44
Manali Deo Tibba,32.19716347659341,77.38248943266356,Manali Deo Tibba,45
Manali Nature Park,32.25164219325835,77.18642561403318,Manali Nature Park,46
Dharamshala Tibet Museum and Liberary Archives,32.22623830991296,76.32505838189252,Dharamshala Tibet Museum and Liberary Archives,47
Dharamshala Tsuglagkhang Complex Dalai Lama Temple,32.232149537597,76.32389251624281,Dharamshala Tsuglagkhang Complex Dalai Lama Temple,48
Dharamshala Skyway View,32.234675948491194,76.32429879592124,Dharamshala Skyway View,49
Dharamshala Mcleodganj Dal Lake,32.24696762134112,76.31074663938821,Dharamshala Mcleodganj Dal Lake,50
Dharamshala Bhangsu Naag Temple and Waterfall,32.245989022032994,76.33660726910041,Dharamshala Bhangsu Naag Temple and Waterfall,51
Dharamshala Naddi View and Sunset Point,32.2538812699704,76.30264310008089,Dharamshala Naddi View and Sunset Point,52
NAAM European Art Gallery,32.188164452901624,76.35699431788326,NAAM European Art Gallery,53
Chinmaya Tapovan Temple,32.17617799353176,76.35919650597334,Chinmaya Tapovan Temple,54
