POI_Name,Latitude,Longitude,Name,DestinationID
Munnar Tea Garden View Point,10.0421056769336,77.03994021873038,Munnar Tea Garden View Point,1
Pomathendu Munnar Tea Garden View,10.059648636282526,77.06395958907717,Pomathendu Munnar Tea Garden View,2
Munnar Pothamendu,10.036556323991968,77.07679665506161,Munnar Pothamendu,3
Munnar Tea Hill Hiking Spot,10.028382259902068,77.04557394106848,Munnar Tea Hill Hiking Spot,4
Wonder Valley Adventure Amusement Park Munnar,10.027158840440425,77.03557039892789,Wonder Valley Adventure Amusement Park Munnar,5
Dream Land Adventure Amusement Park,10.016703039608991,77.04700450785305,Dream Land Adventure Amusement Park,6
Munnar Lakshmi Tea Estate,10.06375951567566,76.99922583447953,Munnar Lakshmi Tea Estate,7
Photo Shoot Point Munnar,10.059982734146894,77.01679704712947,Photo Shoot Point Munnar,8
Munnar Tea Museum,10.094243119736833,77.0504043405215,Munnar Tea Museum,9
Kolukammai Tea Estate-Jeep Tour and Birdwatching,10.088892477204386,77.05945595343144,Kolukammai Tea Estate-Jeep Tour and Birdwatching,10
Munnar Botanical Estate,10.083065168520903,77.07088651025823,Munnar Botanical Estate,11
Blossom Hudel Park-Garden,10.069078286934468,77.06654410064007,Blossom Hudel Park-Garden,12
Ramaswamy Dam Lake View Point,10.068127884097622,77.06735203490278,Ramaswamy Dam Lake View Point,13
Carmelgiri Elepphant Park,10.095143224077765,77.09931319024157,Carmelgiri Elepphant Park,14
Eco Point Munnar-Lake,10.122293217300154,77.15435931916988,Eco Point Munnar-Lake,15
Matupettu Dam Lake,10.108568765626044,77.12380898053145,Matupettu Dam Lake,16
Munnar Rose Garden,10.086389009939277,77.07583206232711,Munnar Rose Garden,17
Attukkad Waterfall Munnar,10.053377049027835,77.05872179462926,Attukkad Waterfall Munnar,18
Munnar Forest Adventure,10.08458312601078,77.06041801106046,Munnar Forest Adventure,19
Birla Waterfall,10.305185452970427,76.94875998336809,Birla Waterfall,20
Sholayar Lake Dam View PT,10.30755699881142,76.88649687831841,Sholayar Lake Dam View PT,21
Chinna Kalar Waterfall,10.302381402105004,77.02870891615032,Chinna Kalar Waterfall,22
Iraichal Parai Waterfall,10.337137754237698,77.00832746999959,Iraichal Parai Waterfall,23
Valparai Market,10.32564472967863,76.9529225779376,Valparai Market,24
Thirumoorthy Waterfall and Temple,10.45129066944232,77.1595608962812,Thirumoorthy Waterfall and Temple,25
Munnar Town Centre Bazaar,10.086764359492014,77.06108206264639,Munnar Town Centre Bazaar,26
Tea Estate Poothakuzzy,10.09293264257236,77.0565325841806,Tea Estate Poothakuzzy,27
Kadalukaani Paani Sunset,8.747832073848732,76.9055171231503,Kadalukaani Paani Sunset,28
Meenmutti Waterfall,8.78182502292081,76.91789501049456,Meenmutti Waterfall,29
RajaRaviVermaArtGallery,8.768349998647174,76.86704609213272,RajaRaviVermaArtGallery,30
CHithirapuram Tea Estate Path,10.032606607029129,77.04331189932125,CHithirapuram Tea Estate Path,31
Tata Tea Consumer Centre,10.088816260293932,77.05564481383058,Tata Tea Consumer Centre,32
Thirumeny Cultural Centre Munnar Plays and Dances,10.088148504798289,77.06156534964083,Thirumeny Cultural Centre Munnar Plays and Dances,33
Nayakammad Waterfall,10.135845320449446,77.06064667967598,Nayakammad Waterfall,34
Evaikulam Waterfall,10.144873872933918,77.04328057391925,Evaikulam Waterfall,35
carvar Marsh Statue -Karvarkal estate,10.3770717438228,76.9952203543996,carvar Marsh Statue -Karvarkal estate,36
