POI_Name,Latitude,Longitude,Name,DestinationID
Shri Bhimashankar Jyotirlinga Wildlife Reserve,19.09360768,73.5546089,Shri Bhimashankar Jyotirlinga Wildlife Reserve,1
Sinhagad Fort,18.37069764,73.75418215,Sinhagad Fort,2
Lal Mahal,18.51899255,73.85661611,Lal Mahal,3
Parvati Hill,18.49758719,73.84823757,Parvati Hill,4
Joshi's Museum Of Miniature Railways,18.50165389,73.82236486,Joshi's Museum Of Miniature Railways,5
Shaniwar Wada,18.51970884,73.8553175,Shaniwar Wada,6
Shreemant Dagdusheth Halwai Ganpati Mandir,18.51680103,73.85737744,Shreemant Dagdusheth Halwai Ganpati Mandir,7
FC Road,18.52199938,73.84095221,FC Road,8
Vishrambaug Wada,18.51437718,73.85382359,Vishrambaug Wada,9
Iskcon Temple,18.52121769,73.87920214,Iskcon Temple,10
Mahabaleshwar,17.92601,73.65668,Mahabaleshwar,11
Mulshi,18.46479,73.46763,Mulshi,12
Panchgani,17.92476,73.80563,Panchgani,13
"Chiplun, Ratnagiri",17.54263,73.52088,"Chiplun, Ratnagiri",14
Rajiv Gandhi Zoological Park,18.45276564,73.86078697,Rajiv Gandhi Zoological Park,15
Saras Baug,18.5020667,73.8475582,Saras Baug,16
Matheran,18.98841303,73.26518004,Matheran,17
Lonavla,18.75801152,73.40468353,Lonavla,18
Laxmi Road,18.5158615,73.85622692,Laxmi Road,19
Deccan Gymkhana,18.51686,73.84353,Deccan Gymkhana,20
Pataleshwar,18.52711,73.85016,Pataleshwar,21
Jangli Maharaj Road,18.51686,73.84353,Jangli Maharaj Road,22
Aga Khan Palace,18.55297987,73.90179361,Aga Khan Palace,23
Shivneri Fort,19.19330766,73.85544944,Shivneri Fort,24
Pune Cantonment,18.513,73.87983,Pune Cantonment,25
