PhotoID,UserID,Date,Latitude,Longitude,Address
29572347,16047093@N00,02:21.0,10.495998,76.218681,"KARAMUKKU BHAGAVATHY TEMPLE, VALIYALUKKAL, 680027, VALIYALUKKAL, CHIYYARAM, KERALA, INDIA"
46378381,72738192@N00,27:03.0,26.479349,74.562866,"THE PINEAPPLE EXPRESS HOSTEL, 5 SAMARIYA COLONY JA­MNI KUND ROAD, 305022, 5 SAMARIYA COLONY JA­MNI KUND ROAD, PUSHKAR, RAJASTHAN, INDIA"
122726933,15792768@N00,44:26.0,13.091516,80.293579,"CHENNAI BEACH, RAJAJI SALAI, 600001, RAJAJI SALAI, CHENNAI, TAMIL NADU, INDIA"
122735272,15792768@N00,05:24.0,13.091516,80.293579,"CHENNAI BEACH, RAJAJI SALAI, 600001, RAJAJI SALAI, CHENNAI, TAMIL NADU, INDIA"
210798635,80484221@N00,01:25.0,9.5823,76.56063,"THAMARASSERY, INDIA"
254180952,68222897@N00,31:22.0,33.265686,78.189625,"PRAYER FLAGS, CHOMO CHONKAR LAKE, CHOMO CHONKAR LAKE, LADAKH, INDIA"
317820700,92306238@N00,53:29.0,12.812847,77.57369,"HILL TOP VIEW, BANNERGHUTTA, 560108, BANNERGHUTTA, BANNERUGHATTA, BENGALURU DIVISION, INDIA"
318271978,42114936@N00,28:25.0,25.310288,83.006064,"NAI SARAK ROAD, 221001, NAI SARAK ROAD, VARANASI, UTTAR PRADESH, INDIA"
327736431,16983412@N00,17:47.0,26.916633,70.910996,"THAR DESERT TOURS, PATWA HAVELI ROAD, 345001, PATWA HAVELI ROAD, JAISALMER, RAJASTHAN, INDIA"
379110497,61009686@N00,40:28.0,34.165803,77.587627,"CHANDAZIK GOMPA, SANKAR ROAD, SANKAR ROAD, LEH, LADAKH, INDIA"
385471302,43224524@N00,45:24.0,25.326493,83.027286,"GEM HOSPITAL, MADAN MOHAN MALVIYA ROAD, 221001, MADAN MOHAN MALVIYA ROAD, VARANASI, UTTAR PRADESH, INDIA"
399891216,43224524@N00,51:16.0,25.300967,83.009433,"MANASAROVAR GHAT DRAIN, 221001, INDIA"
413935202,48889048097@N01,37:13.0,13.044534,80.263881,"WAITROSE, P. S. SIVASAMY STREET, 600004, P. S. SIVASAMY STREET, CHENNAI, TAMIL NADU, INDIA"
416416753,95674706@N00,27:12.0,17.396019,78.39672,"QUTUB SHAHI TOMBS, QUTUB SHAHI TOMB RD, 500089, QUTUB SHAHI TOMB RD, TELANGANA, INDIA"
469620367,90394928@N00,20:39.0,12.970434,77.555236,"KEMPAPURA AGRAHARA, 560104, BENGALURU, KARNATAKA, INDIA"
478374971,17754816@N00,07:59.0,27.043684,88.26622,"HOTEL MOUNT PLEASANT, M.P. ROAD, 734101, M.P. ROAD, DARJEELING, WEST BENGAL, INDIA"
521389702,34965144@N00,00:06.0,22.674847,88.372596,"COLLEGE OF MEDICINE & SAGORE DUTTA HOSPITAL, P9CF+795, BARRACKPORE TRUNK RD, 700058, P9CF+795, BARRACKPORE TRUNK RD, KOLKATA, WEST BENGAL, INDIA"
522144727,48889048097@N01,00:01.0,12.921834,80.193672,"CASA GRANDE, RIVIERA APARTMENTS, VELACHERY MAIN ROAD, 600100, VELACHERY MAIN ROAD, TAMIL NADU, INDIA"
525888752,30835617@N00,53:41.0,17.717947,83.323059,"PANDURANGASWAMY TEMPLE ROAD, 530001, VISAKHAPATNAM, ANDHRA PRADESH, INDIA"
